jahr;bfs_nr_gemeinde;gemeinde_name;gebaeudehuelle;geak_sanierung;minergie_sanierung;minergie_neubau;holz_bis_70;holz_ab_70;waermepumpe;waermenetzanschluss;waermenetzprojekt;solarthermieanlage;solarstromanlage;batteriespeicher;energieeffizienz;komfortlueftung;elektrofahrzeug;ladeinfrastruktur;geak_plus;energieanalyse;wkk;biogasanlage;sonstige;total
2008;4551;Aadorf;5;;;4;;;;1;;18;5;;;;;;3;;;;;36
2009;4551;Aadorf;23;;;7;4;;4;;;12;4;;;;;;4;;;;;58
2010;4551;Aadorf;39;2;1;5;;1;6;;;19;4;;;;;;9;;;;;86
2011;4551;Aadorf;44;;4;22;;;9;;;22;16;;;2;;;3;;;;;122
2012;4551;Aadorf;16;2;1;10;1;1;5;4;;25;30;;;1;;;3;2;;;;101
2013;4551;Aadorf;12;2;2;4;;;6;5;;8;20;;2;;;;1;;1;;;63
2014;4551;Aadorf;16;;3;14;3;1;2;6;;9;11;;;;;;;;1;;;66
2015;4551;Aadorf;11;;1;1;;2;5;2;;5;1;;;2;;;1;;;;1;32
2016;4551;Aadorf;19;;;;;1;1;5;;1;;;1;;;;2;3;;;4;37
2017;4551;Aadorf;17;1;;4;1;1;7;1;;1;;6;;;;;3;1;;;9;52
2018;4551;Aadorf;16;1;1;;1;;11;;;2;;6;;3;;;4;;;;8;53
2019;4551;Aadorf;10;;;1;2;1;17;;;1;;9;;;16;;5;;;;;62
2020;4551;Aadorf;4;1;;1;;;12;1;1;;;7;2;;17;;6;;;;;52
2008;4711;Affeltrangen;2;;;2;3;;;;;6;1;;;;;;;;;;;14
2009;4711;Affeltrangen;11;;;;1;;1;;;1;;;;;;;2;;;;;16
2010;4711;Affeltrangen;7;;;;;2;;;;2;1;;;;;;1;;;;;13
2011;4711;Affeltrangen;18;;;3;1;;4;;;1;2;;;;;;;;;;;29
2012;4711;Affeltrangen;11;2;;6;1;;3;;;4;6;;;2;;;3;;;;;38
2013;4711;Affeltrangen;4;;;1;;;;1;;6;6;;1;1;;;1;;;;;21
2014;4711;Affeltrangen;1;;1;5;;;4;;;;3;;1;;;;;;;;;15
2015;4711;Affeltrangen;4;;;2;2;;4;;;3;;;2;;;;1;;;;3;21
2016;4711;Affeltrangen;7;;;;;;6;1;;1;;;;;;;;;;;5;20
2017;4711;Affeltrangen;7;;;1;;;6;;;;;6;2;;;;2;1;;;6;31
2018;4711;Affeltrangen;9;;;;;;4;;;2;;3;1;2;;;;;;;3;24
2019;4711;Affeltrangen;5;;;1;;;9;;;;;2;2;1;2;;1;;;;;23
2020;4711;Affeltrangen;;;;1;;1;5;;;;;2;;;6;;2;1;;;;18
2008;4641;Altnau;1;;;1;1;;1;;;5;2;;;;;;;;;;;11
2009;4641;Altnau;1;;;5;;;2;;;2;;;;;;;4;;;;;14
2010;4641;Altnau;9;;;2;;;1;;;4;1;;;;;;3;;;;;20
2011;4641;Altnau;14;;;2;2;1;1;;;1;2;;1;;;;3;;;;;27
2012;4641;Altnau;6;2;;2;;;1;2;;4;4;;2;;;;2;;;;;25
2013;4641;Altnau;4;1;1;1;;;1;1;;3;6;;1;;;;1;;;;;20
2014;4641;Altnau;5;;1;1;;;1;;;1;1;;;;;;2;;;;;12
2015;4641;Altnau;5;1;;;1;;;;;2;1;;;;;;;;;;3;13
2016;4641;Altnau;3;;;1;;;1;;;1;;;;;;;;1;;;;7
2017;4641;Altnau;7;1;;1;;;4;;;2;;;;;;;1;;;;5;21
2018;4641;Altnau;4;;;;;;4;;;;;2;1;;;;1;;;;2;14
2019;4641;Altnau;3;1;;;;1;2;;;;;3;;;3;;3;;;;;16
2020;4641;Altnau;5;2;;;1;;7;;;1;;2;;;6;;3;1;;;;28
2008;4881;Amlikon-Bissegg;1;;;;2;;;1;;4;;;;;;;1;;;;1;10
2009;4881;Amlikon-Bissegg;9;;;1;2;1;;;;3;1;;;;;;2;;;;;19
2010;4881;Amlikon-Bissegg;4;;;;1;;;;;3;;;;;;;;;;;;8
2011;4881;Amlikon-Bissegg;8;;;1;1;1;2;;;2;1;;;;;;1;;;;;17
2012;4881;Amlikon-Bissegg;3;;;1;;;2;;;3;9;;;;;;;;;;;18
2013;4881;Amlikon-Bissegg;2;1;;1;1;;4;5;;;10;;;;;;1;;;;;25
2014;4881;Amlikon-Bissegg;4;;;;1;;;;;1;5;;;;;;;;;;;11
2015;4881;Amlikon-Bissegg;2;;;;1;;4;1;;;;;;;;;1;1;;;1;11
2016;4881;Amlikon-Bissegg;4;;;;2;;3;;;;;;;1;;;;;;;4;14
2017;4881;Amlikon-Bissegg;3;;;;;;;6;;1;;;;;;;1;;;;2;13
2018;4881;Amlikon-Bissegg;5;;;;;;4;1;;;;5;;;;;1;;;;2;18
2019;4881;Amlikon-Bissegg;2;1;;;;1;10;;;;;1;;;2;;1;;;;1;19
2020;4881;Amlikon-Bissegg;2;;;;2;;6;1;;;;3;;;4;;4;;;;;22
2008;4461;Amriswil;4;;;4;5;;1;;;8;3;;;;;;2;;;;;27
2009;4461;Amriswil;30;;1;6;2;1;6;2;;19;1;;;;;;11;;;;;79
2010;4461;Amriswil;39;1;2;13;4;;6;;;10;3;;;;;;15;;;;1;94
2011;4461;Amriswil;33;2;1;7;2;;6;;;8;11;;1;;;;11;;;;;82
2012;4461;Amriswil;35;2;1;16;1;;3;1;;6;16;;;;;;7;2;;;;90
2013;4461;Amriswil;25;1;;10;2;;1;;;6;17;;;;;;1;;;;;63
2014;4461;Amriswil;19;3;;1;4;;1;3;;1;7;;;;;;13;;;;;52
2015;4461;Amriswil;13;1;;6;;1;2;1;;4;1;;2;;;;4;2;;;1;38
2016;4461;Amriswil;19;5;;;1;;6;;;;;;1;;;;5;3;;;6;46
2017;4461;Amriswil;21;2;;8;2;1;9;2;;1;;5;2;;;;12;;;;11;76
2018;4461;Amriswil;21;2;;;1;;9;2;;2;;13;3;;;;9;;;;5;67
2019;4461;Amriswil;8;3;;1;1;;14;;;1;;6;3;;4;;11;;;;;52
2020;4461;Amriswil;16;5;;2;;1;10;1;1;;;6;1;;23;1;12;;;;;79
2008;4401;Arbon;14;;;3;1;;;;;7;;;;;;;7;;;;;32
2009;4401;Arbon;16;;;1;4;;1;;;5;2;;;;;;3;;;;;32
2010;4401;Arbon;18;;;4;1;;3;;;9;1;;;;;;9;;;;;45
2011;4401;Arbon;26;2;;7;;;5;;;4;5;;1;;;;2;;;;;52
2012;4401;Arbon;30;5;;13;2;;6;;;13;10;;1;;;;12;;;;;92
2013;4401;Arbon;11;2;;7;1;;5;2;;3;7;;;;;;8;5;;;;51
2014;4401;Arbon;21;2;;2;;;4;4;;6;4;;2;;;;3;;;;;48
2015;4401;Arbon;10;1;;5;1;;2;7;;4;;;2;;;;;2;;;;34
2016;4401;Arbon;22;3;;1;1;;6;8;;2;1;;3;;;;;2;;;1;50
2017;4401;Arbon;24;;;;;;8;3;;1;;6;2;;;;3;2;;;1;50
2018;4401;Arbon;17;1;;;;1;9;1;;1;;1;3;;;;4;;;;6;44
2019;4401;Arbon;24;1;;;;;19;;;;;6;4;;7;;9;2;;;1;73
2020;4401;Arbon;9;2;;;1;;20;;;4;;13;2;;20;1;10;4;;;;86
2008;4536;Basadingen-Schlattingen;5;;;1;1;;;;;4;1;;;;;;1;;;;;13
2009;4536;Basadingen-Schlattingen;8;;;1;;;;;;2;;;;;;;;;;;2;13
2010;4536;Basadingen-Schlattingen;9;;2;;;1;1;1;;;;;;;;;1;;;;1;16
2011;4536;Basadingen-Schlattingen;2;;1;;1;;1;;;3;3;;;;;;;;;;;11
2012;4536;Basadingen-Schlattingen;7;1;2;3;;1;3;;;5;6;;;;;;1;;;;;29
2013;4536;Basadingen-Schlattingen;3;;;1;2;;1;2;;2;5;;;;;;2;;;;1;19
2014;4536;Basadingen-Schlattingen;6;;;;1;;;;;4;4;;;;;;;;;;;15
2015;4536;Basadingen-Schlattingen;1;;;;2;;2;;;;1;;;;;;;;;;5;11
2016;4536;Basadingen-Schlattingen;5;;;;1;;2;;;;;;;;;;;;;;3;11
2017;4536;Basadingen-Schlattingen;2;;;1;;;3;;;5;;1;;;;;;;;;1;13
2018;4536;Basadingen-Schlattingen;4;;;;1;;3;;;1;;2;;;;;;;;;2;13
2019;4536;Basadingen-Schlattingen;1;;;;1;;3;;;2;;1;;;3;;1;;;;;12
2020;4536;Basadingen-Schlattingen;4;;;;1;;6;;;;;2;;;3;;2;;;;;18
2008;4891;Berg (TG);1;;;1;;1;;;;1;;;;;;;1;;;;;5
2009;4891;Berg (TG);13;;;2;2;;;;;8;;;;;;;5;;;;1;31
2010;4891;Berg (TG);18;;;3;;;;;;6;1;;;1;;;5;;;;;34
2011;4891;Berg (TG);12;;;2;;;1;1;;7;2;;1;;;;;;;;;26
2012;4891;Berg (TG);8;;;6;;;;;;7;8;;;;;;;;;;;29
2013;4891;Berg (TG);6;;;4;1;;1;;;9;2;;2;1;;;2;1;;;;29
2014;4891;Berg (TG);7;;1;;;;2;;;2;2;;;;;;1;;;;;15
2015;4891;Berg (TG);3;1;;;2;;1;;;3;1;;;1;;;4;1;;;4;21
2016;4891;Berg (TG);6;;;;;;6;;;;;;;;;;;;;;2;14
2017;4891;Berg (TG);10;1;;3;;;1;;;2;;;;;;;4;;;;2;23
2018;4891;Berg (TG);8;;;;1;;2;;;1;;2;;;;;3;1;;;5;23
2019;4891;Berg (TG);3;1;;;1;;5;;;1;;3;;;2;;3;;;;1;20
2020;4891;Berg (TG);2;2;;;;1;7;;;;;3;;;6;;3;;;;;24
2008;4801;Berlingen;;;;;;;;;;1;;;;;;;;;;;;1
2009;4801;Berlingen;3;;;;;;1;;;;;;;;;;2;;;;;6
2010;4801;Berlingen;2;;;;;;;;;;;;;;;;1;;;;;3
2011;4801;Berlingen;4;;;2;;;2;;;1;2;;;;;;2;;;;;13
2012;4801;Berlingen;3;1;;4;;;1;;;1;1;;;;;;;;;;;11
2013;4801;Berlingen;3;;;1;;;1;;;;2;;;;;;;;;;;7
2014;4801;Berlingen;6;;;;;;;;;;1;;;;;;1;;;;;8
2015;4801;Berlingen;2;1;1;;1;;;;;1;;;;;;;1;;;;2;9
2016;4801;Berlingen;1;;;;1;;1;;;;;;;;;;;;;;;3
2017;4801;Berlingen;2;1;;;;;;;;1;;;;;;;2;;;;;6
2018;4801;Berlingen;;;;;;;1;;;;;1;1;;;;2;;;;1;6
2019;4801;Berlingen;;1;;;;;;;;;;;;;1;;2;;;;;4
2020;4801;Berlingen;1;2;;;;;1;;;;;;1;;2;;;;;;;7
2008;4716;Bettwiesen;1;;;;1;;;;;1;;;;;;;;;;;;3
2009;4716;Bettwiesen;1;;;1;;;2;;;1;;;;;;;;;;;;5
2010;4716;Bettwiesen;1;;;1;2;1;1;;;;;;;;;;2;;;;;8
2011;4716;Bettwiesen;5;;;1;;;;;;2;;;;;;;;;;;;8
2012;4716;Bettwiesen;2;;;1;;;2;;;;6;;;;;;;;;;;11
2013;4716;Bettwiesen;1;1;;2;;;;;;;3;;;;;;1;;;;;8
2014;4716;Bettwiesen;3;;;;;;2;;;4;4;;;;;;;;;;;13
2015;4716;Bettwiesen;;;;;;;;;;1;;;;;;;;;;;;1
2016;4716;Bettwiesen;5;;;;;;;;;;;;;;;;;;;;1;6
2017;4716;Bettwiesen;2;;;2;;;;;;;;2;;;;;;;;;2;8
2018;4716;Bettwiesen;2;;;;1;;;;;;;;;;;;1;;;;;4
2019;4716;Bettwiesen;;;1;;1;;;;;;;1;;;2;;;;;;;5
2020;4716;Bettwiesen;1;1;;;;;2;;;;;2;;;5;;4;;;;;15
2008;4721;Bichelsee-Balterswil;3;;;;2;;1;3;;6;1;;;;;;2;;;;;18
2009;4721;Bichelsee-Balterswil;12;;;1;3;;3;;;10;;;;;;;3;;;;2;34
2010;4721;Bichelsee-Balterswil;8;;1;1;;;1;2;;2;5;;;;;;;;;;1;21
2011;4721;Bichelsee-Balterswil;10;;1;1;1;1;3;13;;2;1;;;;;;1;;;;;34
2012;4721;Bichelsee-Balterswil;7;1;;;1;;5;53;;3;2;;;1;;;1;;;;;74
2013;4721;Bichelsee-Balterswil;11;;;;1;;1;8;;3;6;;;;;;;;;;;30
2014;4721;Bichelsee-Balterswil;7;1;1;1;;;3;8;;5;;;2;;;;;;;;;28
2015;4721;Bichelsee-Balterswil;5;;;;1;1;;6;;;2;;1;;;;3;;;;2;21
2016;4721;Bichelsee-Balterswil;1;;;;2;;;1;;;;;;;;;1;1;;;5;11
2017;4721;Bichelsee-Balterswil;8;1;;;1;;4;3;;;;;1;;;;1;;;;6;25
2018;4721;Bichelsee-Balterswil;4;;;;2;;7;1;;;;2;;;;;;;;;7;23
2019;4721;Bichelsee-Balterswil;2;2;;;;;10;10;1;;;2;;;7;;2;;;;;36
2020;4721;Bichelsee-Balterswil;3;;;1;;;7;2;;;;3;;;6;;;;;;;22
2008;4901;Birwinken;;;;;1;;;;;4;1;;;;;;2;;;;;8
2009;4901;Birwinken;1;;;;;;;;;1;1;;;;;;1;;;;;4
2010;4901;Birwinken;4;1;;;;;1;;;4;3;;;;;;2;;;;;15
2011;4901;Birwinken;1;;;;1;;4;1;;2;2;;;;;;2;;;;;13
2012;4901;Birwinken;3;;;2;2;;;1;;1;4;;;;;;;;;;;13
2013;4901;Birwinken;1;1;;;;;;1;;;8;;;;;;1;;;;;12
2014;4901;Birwinken;3;1;;;1;2;2;17;;1;1;;;;;;1;;;;;29
2015;4901;Birwinken;2;;;;;;3;;;1;1;;;;;;1;;;;1;9
2016;4901;Birwinken;4;;2;;1;;;2;;1;;;;;;;;;;;4;14
2017;4901;Birwinken;;2;;;;;;;;;;;;;;;;;;;3;5
2018;4901;Birwinken;5;;;;;;3;1;;;;3;;;;;2;;;;;14
2019;4901;Birwinken;2;1;;;1;;3;2;;;;;;;3;;3;2;;;;17
2020;4901;Birwinken;1;;;;1;;1;;;;;3;;;3;;3;;;;;12
2008;4471;Bischofszell;4;;;;3;;;1;;4;;;;;;;1;;;;;13
2009;4471;Bischofszell;15;;;1;3;;4;2;;4;2;;;;;;5;;;;2;38
2010;4471;Bischofszell;25;1;;;1;1;4;2;;4;2;;;;;;8;;;;;48
2011;4471;Bischofszell;16;2;1;2;1;;3;1;;5;3;;;;;;8;;;;;42
2012;4471;Bischofszell;23;2;;5;2;2;3;2;;2;8;;;;;;10;;;;;59
2013;4471;Bischofszell;8;2;;2;1;;5;;;3;5;;2;;;;6;;;;;34
2014;4471;Bischofszell;10;9;;5;1;;3;;;4;1;;2;;;;6;;;;;41
2015;4471;Bischofszell;8;2;;;1;;3;;;1;;;3;;;;;2;;;;20
2016;4471;Bischofszell;11;3;;;2;;5;;;3;;;2;;;;1;2;;;;29
2017;4471;Bischofszell;19;;;;;;9;;;3;;9;2;;;;8;;;;4;54
2018;4471;Bischofszell;12;6;;;;2;15;;;;1;8;4;;;;9;;;;5;62
2019;4471;Bischofszell;2;2;;;1;;9;;;1;;3;1;;5;;8;1;;;1;34
2020;4471;Bischofszell;6;1;;;;;9;;;1;;7;;;12;;8;1;;;;45
2008;4643;Bottighofen;;;;1;3;;;;;2;;;2;;;;4;;;;;12
2009;4643;Bottighofen;3;;;;;;1;;;5;;;;;;;1;;;;;10
2010;4643;Bottighofen;5;;;1;;;2;;;2;1;;;;;;2;;;;;13
2011;4643;Bottighofen;5;;;3;;;1;;;3;;;;;;;3;;;;;15
2012;4643;Bottighofen;5;1;;2;;;2;;;6;1;;;;;;4;;;;;21
2013;4643;Bottighofen;2;;1;5;;;;;;1;1;;;;;;;;;;;10
2014;4643;Bottighofen;2;1;;1;;;1;;;3;3;;;;;;1;;;;;12
2015;4643;Bottighofen;4;;;1;;;;;;1;1;;;;;;1;;;;;8
2016;4643;Bottighofen;4;;;;;;2;;;;;1;;;;;1;;;;7;15
2017;4643;Bottighofen;5;1;;1;;;;;;1;;;;;;;4;;;;3;15
2018;4643;Bottighofen;8;;;;;;1;;;3;;1;;;;;2;;;;5;20
2019;4643;Bottighofen;4;1;;;;;5;;;;;1;;;5;;2;;;;;18
2020;4643;Bottighofen;1;;1;;;;6;;;;;3;;;11;;2;;;;;24
2008;4723;Braunau;1;;;;;;;;;4;;;;;;;;;;;;5
2009;4723;Braunau;2;;;1;1;;;;;;;;;;;;;;;;;4
2010;4723;Braunau;5;;;;1;;;;;;1;;;;;;1;;;;;8
2011;4723;Braunau;2;;;2;2;;;;;2;1;;;;;;;;;;;9
2012;4723;Braunau;1;;;1;1;;;;;;2;;;;;;;;;;;5
2013;4723;Braunau;;;1;;;;1;;;;2;;;;;;;;;;;4
2014;4723;Braunau;;;;1;1;;;;;1;;;;;;;;;;;;3
2015;4723;Braunau;;1;;;;;1;2;;;;;;;;;;;;;;4
2016;4723;Braunau;;;;;1;;1;;;;;;;;;;;;;;1;3
2017;4723;Braunau;2;;;;;;;;;;;5;;;;;;;;;;7
2018;4723;Braunau;;;1;;;;2;;;;;2;;;;;2;;;;1;8
2019;4723;Braunau;2;;;;;;3;;;;;2;;;;;;;;;;7
2020;4723;Braunau;1;1;;;1;;2;;;;;1;;;;;;;;;;6
2008;4911;BÅrglen (TG);1;;;;1;;;;;3;;;;;;;;;;;;5
2009;4911;BÅrglen (TG);6;;;;;;1;;;3;1;;;;;;5;;;;;16
2010;4911;BÅrglen (TG);10;;;;;;;;;4;;;;;;;2;;;;;16
2011;4911;BÅrglen (TG);12;1;;2;;;1;;;6;4;;1;;;;5;;;;;32
2012;4911;BÅrglen (TG);10;3;;2;;;1;;;2;3;;;;;;2;;;;;23
2013;4911;BÅrglen (TG);9;;;1;;;1;;;5;3;;;;;;;;;;;19
2014;4911;BÅrglen (TG);10;;;;;;;;;1;2;;;;;;1;;;;;14
2015;4911;BÅrglen (TG);5;3;;1;1;;3;;;;2;;;;;;;;1;;1;17
2016;4911;BÅrglen (TG);10;;;1;;;2;;;2;;;1;;;;;;;;1;17
2017;4911;BÅrglen (TG);6;1;;;;;3;;;1;;3;;;;;3;;;;5;22
2018;4911;BÅrglen (TG);9;;;;2;;6;;;;;2;;;;;4;;;;5;28
2019;4911;BÅrglen (TG);4;;;;1;;2;;;;;2;;;7;;5;;;;;21
2020;4911;BÅrglen (TG);3;1;;;;;7;;;;;6;;;3;;4;;;;;24
2008;4921;Bussnang;2;;;;2;;;;;4;;;;;;;;;;;;8
2009;4921;Bussnang;4;;;;5;;;2;;4;1;;;;;;3;;;;1;20
2010;4921;Bussnang;9;;;4;1;;1;2;;7;1;;;;;;4;;;;;29
2011;4921;Bussnang;7;1;;1;1;1;1;;;2;1;;;;;;2;;;;;17
2012;4921;Bussnang;9;;;2;2;;1;1;;1;;;;;;;5;1;;;;22
2013;4921;Bussnang;3;2;2;2;1;;1;;;3;11;;;;;;1;;;;;26
2014;4921;Bussnang;9;1;;;;;2;;;4;;;1;;;;3;1;;;;21
2015;4921;Bussnang;2;;;;1;;1;;;;;;;;;;1;;;;;5
2016;4921;Bussnang;6;;;;1;;4;;;1;;;3;;;;;1;;;;16
2017;4921;Bussnang;5;;1;;;;2;;;3;;;1;;;;1;1;;;5;19
2018;4921;Bussnang;4;2;;;1;;8;;;1;;2;6;;;;5;;;;7;36
2019;4921;Bussnang;7;3;;;1;;7;;;;;3;1;;1;;4;1;;;;28
2020;4921;Bussnang;1;;;;2;;10;;;2;;2;;;2;;3;;;;;22
2008;4545;Diessenhofen;;;;3;;;;;;6;1;;;;;;4;;;;;14
2009;4545;Diessenhofen;4;;1;2;2;;3;;;2;1;;;;;;;;;;1;16
2010;4545;Diessenhofen;14;;;3;;;1;;;1;;;;;;;2;;;;;21
2011;4545;Diessenhofen;8;;;7;1;;1;;;5;1;;;;;;1;;;;;24
2012;4545;Diessenhofen;4;;;3;2;;4;;;3;7;;;;;;3;;;;;26
2013;4545;Diessenhofen;3;;;1;;;;;;2;10;;;;;;1;;;;;17
2014;4545;Diessenhofen;5;1;;3;;;2;;;1;3;;1;;;;;;;;;16
2015;4545;Diessenhofen;2;;;;;1;;;;2;;;;;;;;;;;;5
2016;4545;Diessenhofen;3;1;;;1;;2;;;;;;1;;;;1;1;;;2;12
2017;4545;Diessenhofen;4;1;;;;;;;;1;1;5;2;;;;2;1;;;1;18
2018;4545;Diessenhofen;4;;;4;;;4;;;;;;1;;;;1;;;;;14
2019;4545;Diessenhofen;4;1;;3;;;4;;;1;;1;;;2;;3;;;;;19
2020;4545;Diessenhofen;;2;;;;;6;;;1;;;;;9;;4;;;;;22
2008;4406;Dozwil;;;;;;;;;;;;;;;;;;;;;;0
2009;4406;Dozwil;2;;;;1;;1;;;1;2;;;;;;;;;;;7
2010;4406;Dozwil;4;;;3;;;1;;;;3;;;;;;;;;;;11
2011;4406;Dozwil;3;;;1;;;1;;;;4;;;;;;;;;;;9
2012;4406;Dozwil;4;;;;;;;;;1;2;;;;;;;;;;;7
2013;4406;Dozwil;;;;;1;1;;2;;;2;;;;;;;;;;;6
2014;4406;Dozwil;3;;;;1;;;1;;;2;;;;;;;;;;;7
2015;4406;Dozwil;;;;1;;;;;;;;;;;;;;;;;;1
2016;4406;Dozwil;3;;;1;;;;;;;;;1;;;;;;1;;2;8
2017;4406;Dozwil;2;;;;;;1;;;;;1;1;;;;;1;;;;6
2018;4406;Dozwil;;;;;;;2;;;;;2;1;;;;;;;;;5
2019;4406;Dozwil;2;;;;;;1;;;;;1;;;1;;;1;;;1;7
2020;4406;Dozwil;;;;;;;;;;;;6;;;4;;1;1;;;;12
2008;4411;Egnach;3;;;1;3;;;;;5;;;;;;;2;;;;;14
2009;4411;Egnach;10;;;2;2;1;4;;;4;1;;;;;;2;;;;4;30
2010;4411;Egnach;17;;1;2;4;;4;;;9;;;;;;;3;;;;;40
2011;4411;Egnach;29;1;;3;1;;4;;;5;10;;;;;;2;;;;;55
2012;4411;Egnach;12;1;1;6;4;;5;;;8;10;;1;;;;;;;;;48
2013;4411;Egnach;11;2;;3;;1;;;;3;14;;;;;;;1;;;;35
2014;4411;Egnach;7;1;;7;3;;3;3;;1;3;;;;;;;;;;;28
2015;4411;Egnach;11;;;3;;;2;;;3;;1;1;;;;1;;;;1;23
2016;4411;Egnach;4;2;;;;;4;4;;3;;1;;;;;3;;;;2;23
2017;4411;Egnach;12;1;;;1;;2;;;;;2;;;;;3;;;;4;25
2018;4411;Egnach;16;1;;;2;;6;3;;1;;8;;;;;5;;;;3;45
2019;4411;Egnach;5;4;;1;1;;10;;;;;7;;;4;;3;;;;;35
2020;4411;Egnach;;1;1;1;2;;10;;;3;;9;;;9;;5;2;;;;43
2008;4476;Erlen;3;;;;;;;;;3;2;;;;;;4;;;;;12
2009;4476;Erlen;7;;;1;4;;2;;;2;2;;;1;;;1;;;;1;21
2010;4476;Erlen;11;;;;1;;2;;;5;2;;;;;;2;;;;;23
2011;4476;Erlen;6;;;5;2;;2;;;3;1;;;;;;2;;;;;21
2012;4476;Erlen;9;2;1;2;;;4;;;5;3;;;;;;2;;;;;28
2013;4476;Erlen;6;1;;2;1;;4;;;;4;;;;;;1;;;;;19
2014;4476;Erlen;7;1;1;5;3;;1;;;4;2;;2;;;;1;;;;;27
2015;4476;Erlen;2;1;;;;;1;;;3;;;2;;;;1;;;;;10
2016;4476;Erlen;5;;1;;1;;1;1;;1;;1;2;;;;;;;;3;16
2017;4476;Erlen;3;;;;1;;3;;;;;4;3;;;;2;1;;;4;21
2018;4476;Erlen;3;1;;;2;;4;;;1;;1;1;;;;5;;;;4;22
2019;4476;Erlen;7;1;;;2;;4;;;;;3;;;1;;4;;;;;22
2020;4476;Erlen;7;1;;;;;8;;;1;;6;1;;1;;4;;;;;29
2008;4646;Ermatingen;;;1;;;;;;;3;;;;;;;1;;;;;5
2009;4646;Ermatingen;9;;;5;;;;;;;;;;;;;3;;;;;17
2010;4646;Ermatingen;13;;;;1;;1;;;1;1;;;;;;6;;;;;23
2011;4646;Ermatingen;17;;;7;1;;1;;;3;1;;;1;;;2;;;;;33
2012;4646;Ermatingen;14;;;4;2;;3;2;;7;9;;;;;;2;;;;;43
2013;4646;Ermatingen;8;;1;1;1;1;;;;4;4;;;;;;1;1;1;;;23
2014;4646;Ermatingen;9;1;;1;;;;1;;2;2;;;;;;;;;;;16
2015;4646;Ermatingen;2;;;;;;1;;;1;1;;;;;;1;;;;1;7
2016;4646;Ermatingen;9;1;;;;1;2;1;;;;;2;;;;;1;;;1;18
2017;4646;Ermatingen;5;;;;1;;;4;;;;1;2;;;;;;;;1;14
2018;4646;Ermatingen;3;;;8;;;2;4;;1;;;;;;;2;;;;3;23
2019;4646;Ermatingen;5;;1;;;;2;;;1;;5;;;9;1;;;;;1;25
2020;4646;Ermatingen;2;1;;1;1;1;5;1;;;;4;1;1;12;1;3;;;;;34
2008;4806;Eschenz;3;;;;;;;;;5;;;;;;;;;;;1;9
2009;4806;Eschenz;1;;;;;;1;1;;2;2;;;;;;1;;;;1;9
2010;4806;Eschenz;4;;1;1;1;;;;;2;3;;;;;;3;;;;;15
2011;4806;Eschenz;4;1;;1;;;;;;3;1;;;;;;;;;;;10
2012;4806;Eschenz;8;;;;;1;1;8;;3;1;;;1;;;;;;;;23
2013;4806;Eschenz;;1;;1;;;;1;;1;1;;;;;;1;;;;;6
2014;4806;Eschenz;4;1;;;;;1;1;;1;;;;;;;;1;;;;9
2015;4806;Eschenz;4;;;;1;;;;;1;1;;;;;;1;1;;;;9
2016;4806;Eschenz;4;;;1;;;1;5;;;;1;;;;;;;;;4;16
2017;4806;Eschenz;5;;;;;;2;;;;;;;;;;2;;;;1;10
2018;4806;Eschenz;1;;;;;;2;7;1;;;3;;;;;2;;;;1;17
2019;4806;Eschenz;2;1;;;1;;2;;1;;;;;;2;;1;;;;;10
2020;4806;Eschenz;3;;;;;;2;1;;1;;2;;;4;;1;;;;;14
2008;4724;Eschlikon;3;;;4;;2;;;;7;2;;;;;;1;;;;;19
2009;4724;Eschlikon;16;;;2;1;;5;6;;6;1;;;;;;;;;;2;39
2010;4724;Eschlikon;10;1;;4;1;;3;;;7;6;;;;;;;;;;;32
2011;4724;Eschlikon;16;2;;3;;;;5;;1;7;;;1;;;4;;1;;;40
2012;4724;Eschlikon;17;2;;15;;1;;;;8;3;;1;2;;;2;;;;;51
2013;4724;Eschlikon;11;3;1;7;;;2;;;3;11;;;;;;1;2;;;;41
2014;4724;Eschlikon;3;;;5;;;1;;;3;1;;;;;;2;;;;;15
2015;4724;Eschlikon;5;;;;1;;;2;;;;;1;;;;2;2;;;10;23
2016;4724;Eschlikon;6;1;1;;;;;1;;2;;;3;;;;;1;;;2;17
2017;4724;Eschlikon;10;;;;;;;;;1;;5;2;;;;;;;;6;24
2018;4724;Eschlikon;3;;;;1;;3;8;1;1;;7;4;;;;1;;;;3;32
2019;4724;Eschlikon;4;;;;;;6;16;1;1;;;2;;6;;2;1;;;;39
2020;4724;Eschlikon;3;1;;;;;6;5;;1;;4;;;4;1;3;;;;;28
2008;4561;Felben-Wellhausen;;;;1;2;;;1;;4;;;;;;;1;;;;;9
2009;4561;Felben-Wellhausen;5;;;;2;;;;;3;2;;;;;;;;;;;12
2010;4561;Felben-Wellhausen;6;;;1;;;;;;3;1;;;;;;;;;;;11
2011;4561;Felben-Wellhausen;5;;;3;;1;;;;1;2;;;1;;;1;;;;;14
2012;4561;Felben-Wellhausen;5;1;;;;;1;16;;2;2;;1;;;;5;;;;;33
2013;4561;Felben-Wellhausen;1;;;3;;1;1;10;;;5;;1;;;;1;;;;;23
2014;4561;Felben-Wellhausen;2;1;;2;;;;4;;;2;;;;;;;;;;;11
2015;4561;Felben-Wellhausen;;;;;;;;3;;;;;;;;;;;;;;3
2016;4561;Felben-Wellhausen;3;;;;;;4;2;;1;;;;;;;;1;;;3;14
